Prompt,Answer
"I have a lot of issues going on right now. First of all, I have a lot of trouble sleeping at times, while other nights I sleep too much and still feel quite tired. I’m also noticing increased irritability and experiencing anxiety attacks that last for hours. Is there something wrong with me and if so what should I do?","There could be many things causing the issues you're experiencing. It's possible that you're suffering from a sleep disorder, such as insomnia. It's also possible that you're experiencing anxiety or depression. If you're having difficulty sleeping, you should try to establish a regular sleep schedule. If you're experiencing anxiety or depression, you should seek professional help."
"I feel that I need to end my present relationship. He lives three hours away and likes the reassurance of having someone to talk to multiple times per day and seeing me once or twice a month. I want someone who is more present and more of a life companion. Lately, he has had a very busy work schedule and I have only seen him a few times in the last 6 weeks. I told him that I can't continue in this way because I constantly feel frustrated and angry and that he is not making the relationship enough of a priority. I also feel it is keeping me from possibly finding the relationship I want. We have been together 7 years. The problem is that I panic and experience anxiety and depression thinking of him with someone else and then thinking I will never meet someone I like. We have gone through this cycle already 4-5 times and I feel it is unhealthy to stay in it, but my aversion to the anxiety and depression I experience upon separation always leads me to reconcile.","There is no easy answer to this question. If you feel that you are not getting what you want out of the relationship and that it is preventing you from finding the relationship you want, then it may be time to end things. However, ending a long-term relationship can be difficult and heartbreaking. If you are unsure about what to do, you may want to consult with a therapist or counselor who can help you explore your options and make a decision that is best for you."
"I'm a teenager, and I struggle with going out and talking to people. I feel awful about leaving home. I know I can't afford a therapist so I don't know what my problem is, but I think I might have social anxiety.","There are a few things that could be going on here. It's possible that you have social anxiety, which is a type of anxiety that can make it difficult to interact with others. It's also possible that you're just shy or introverted, which isn't necessarily a bad thing. Either way, there are some things you can do to help make social situations easier for yourself.

First, try to find one or two people that you feel comfortable around, and focus on talking to them more. This can help you feel more relaxed in social situations. Additionally, try to do things that make you feel good about yourself, such as taking care of yourself and doing things you enjoy. This can help boost your confidence and make it easier to interact with others. Finally, don't be afraid to reach out for help if you need it. There are many resources available to help people with social anxiety or shyness."
"Whenever I don't tell my friends or anyone what I did or stuff that's not really important, I feel terrible, like there’s a hole in my stomach. It only goes away when I hurt myself.","It sounds like you may be experiencing something called social anxiety. This is when someone feels very anxious or nervous in social situations. It can be difficult to feel like you have to share everything with others, but it is important to remember that you don't have to. It is okay to keep some things to yourself. If you're finding that social anxiety is impacting your daily life, it may be worth talking to a therapist or counselor who can help you manage your symptoms."
"I was raped repeatedly when I was younger. I told my parents and action was taken, but now that I’m an adult, I suffer from extreme anxiety.","There are a number of resources available to help people who have suffered from rape or sexual assault. Here are a few:

RAINN (Rape, Abuse & Incest National Network): https://www.rainn.org
The National Sexual Violence Resource Center: https://www.nsvrc.org
The Rape, Abuse & Incest International Network: https://www.rainn.org/international

If you are suffering from anxiety as a result of your experience, there are also many resources available to help you cope. Here are a few:

The Anxiety and Depression Association of America: https://www.adaa.org
The National Institute of Mental Health: https://www.nimh.nih.gov
The Anxiety and Depression Association of America: https://www.adaa.org"
"I find myself being very outgoing most of the time, but there are some times when I don't know what to say. I don't even want to talk at all. It's like, I search for the right thing to say and nothing ever comes out. I don't know if I'm outgoing only to fill the void of not knowing what to say. I don’t know if people like that about me. I'm very self-conscious and always think people are talking about me, so it makes me have a cold shoulder and not want to talk.","It can be difficult to find the right thing to say in every situation, and it's perfectly normal to feel self-conscious or shy at times. However, if you're finding that you're frequently struggling to hold a conversation or feeling like you're only being outgoing to fill a void, it might be worth considering seeking out some social skills development resources. There are many books, articles, and even online courses available that can help you learn how to start and maintain a conversation, manage shyness or anxiety, and develop greater confidence in social situations."
"This is preventing me from getting a job. I have bad relationship with my bipolar mother. I am living with her but it stresses me out so much to be around her that I have locked myself in my room. I have no friends or other family to help me. I have no money for therapy, but I think I need therapy before I can secure a job.","You might want to consider reaching out to mental health resources in your area, like a free or low-cost clinic, to see if they can help you with your current situation. You can also search online for support groups or hotlines that can provide you with additional resources and support."
I feel like my time is going too fast,There's no need to worry – everyone feels like time is going by too quickly at some point. Just enjoy the moment and make the most of your time.
"My dad refuses to acknowledge my anxieties about going to parties, dinners, etc. Whenever I have an opinion it gets shut down. My mom and everyone else behaves likewise. For my father who heads a company, this is normal. He has to be right all the time. He blatantly refuses to even try to see it from my angle.    Recently however, it's been getting to the point where I feel pressured and unable to speak my mind. It isn't possible for me to get professional one-on-one help. He tells me to grow a pair and get over it. I recently have been developing more severe body image and self-confidence issues, which I have had all my life. I feel invalidated by my dad. I have been more paranoid lately as well. I can't turn on location services anymore on my phone because of a past incident. He makes me feel guilty about it. I feel rather worthless more often than not, unfortunately. What do I do?",It sounds like you are feeling a lot of pressure from your dad to be something that you're not. It's important to remember that you are your own person and you have a right to your own opinions and feelings. It's okay to be different from your dad and to have different opinions. You can try communicating with him about how you're feeling and why you don't agree with him on certain things. It's also important to seek out support from other people in your life who can validate your experiences and help you feel better about yourself.
"Whenever I leave my girlfriend I get panic attacks. I'm taking medications to control them, but I'm thinking of moving in with her since I get so anxious.","If you are experiencing panic attacks when you are away from your girlfriend, it may be helpful to consider moving in with her. This way, you will be able to be closer to her and may feel more secure and safe. Medications can be helpful in controlling panic attacks, but if you are still struggling with them, living with your girlfriend may be a good option."
I had a head injury a few years ago and my mind races all the time. I have trouble sleeping and have a lot of anxiety. Every medicine I have been on my body rejects; I get sick to my stomach and get blisters in my mouth. How can I calm my self down? I'm a wreck.,"There are a few things you can do to help calm yourself down:

-Practice deep breathing exercises

-Engage in relaxation techniques such as yoga or meditation

-Talk to a therapist or counselor to help address your anxiety

-Avoid caffeine and other stimulants

-Exercise regularly

-Get plenty of rest"
"When my daughter is stressed about a silly thing from school, she starts crying and freaking out. She is a bright student, always has a 4.0, but I am afraid she is stressing too much. I’m afraid it’s going to break her. I don't know if I should get her to a doctor or someone because this is not normal.","There are a few things that could be going on here, and it would be best to consult with a professional to get a better understanding of what might be causing your daughter's stress and anxiety. It could be that she is feeling overwhelmed by her schoolwork or other obligations, and she may benefit from some counseling or therapy to help her learn how to manage her stress in a healthy way. It is also possible that she is experiencing some sort of emotional trauma that is causing her to feel stressed and anxious, and in this case, she may need more intensive treatment. If you are concerned about your daughter's mental health, please reach out to a professional for help."
"I have four children. One of them is in her 20s, and she cannot afford to go, nor can I pay for her. She went last year for two weeks by herself.","I have four children. One of them is in her 20s, and she cannot afford to go, nor can I pay for her. She went last year for two weeks by herself."
"I'm being verbally abused on a daily basis by my parents in front of my child. I feel like I’m trapped and I have no escape. I feel like I have to listen to the horrible things they say and just take all of it.
   I need some way of learning how to cope with listening to it especially since I have nowhere else to go. I feel very emotionally drained How can I deal with this?","There are a number of ways you can deal with this situation. First, it is important to remember that you are not alone. There are many people who have gone through similar experiences and there are many resources available to help you.

One way to deal with this situation is to talk to someone who can help you understand your feelings and give you support, such as a therapist or counselor. This can be an extremely helpful way to learn how to cope with the situation and to find ways to deal with the emotional stress you are under.

Another way to deal with this situation is to reach out to friends or family members who can offer you support. These people can provide a listening ear and a shoulder to cry on when needed. It can be helpful to talk to these people about your experiences and to have someone to talk to who understands what you are going through.

There are also many resources available online and in books that can offer advice and support. These resources can provide you with information on how to deal with the situation and how to cope with the emotional stress you are under.

It is important to remember that you are not alone in this situation and that there are people and resources available to help you."
"When they come home from their dad's and I fuss at them for anything, they move like they are dodging being hit. They say they’re sorry over and over really fast. I ask and they say no one has hit them, and I've seen no marks. Am I being paranoid or am I right to be?","You may be right to be paranoid, or you may simply be overreacting. If you have seen no marks on your children and they insist that no one has hit them, it is possible that they are simply very apologetic and easily flustered. However, if you have any reason to believe that they may be being hit at their father's house, you should definitely speak to their father about it and/or take them to a doctor to be checked for any signs of abuse."
"he just walks in the house whenever he wants to see his kids. My fiancé tells me it makes her angry and doesn't like it, but she seems afraid to say anything to him about it for some reason. Is it okay for him to do this?","It is not okay for him to do this. If your fiancé is uncomfortable with it, she should speak to him about it. It is possible that he is unaware that she feels this way, and once she expresses her concerns to him, he may be more mindful of her wishes in the future."
My daughter is in later elementary school. She can't color in the lines. Her words jumble together when she writes unless there are big spaces or she skips lines.,"There are a number of possible explanations for why your daughter has difficulty with these tasks. It could be a sign of a learning disability, such as dysgraphia or dyslexia. It could also be that she simply hasn't had enough practice with these skills. If her difficulties are causing her distress or impacting her ability to function at school, it would be worth talking to her teacher or a school counselor to get some more information and support."
My daughter seemed to be developing at a normal rate until about the age of 10. She then started to act younger than she is.    Now she only wants to play with younger kids and she doesn't act her age. I don't know why this is happening. Is this normal?,"There could be a few reasons why your daughter is acting younger than she is. It is possible that she is feeling insecure or overwhelmed by the expectations placed on her at her current age. Additionally, she may simply enjoy the company of younger children more than older kids or adults. If her behavior is causing her to struggle socially or academically, it may be worth talking to a pediatrician or child psychologist to see if there are any underlying issues. Otherwise, as long as she is happy and healthy, there is no need to be concerned."
"My ex-wife married and used me to have a child. She now uses that child as a pawn. I know my child misses me, but I need to move on and not live in the past. How do I do this? Do I see my child as much as possible or very little? Is it more confusing for the child?","It can be difficult to move on after a divorce, especially if you have children together. However, it is important to remember that you are not the only one affected by the divorce. Your children are also going through a tough time, and they need your support.

There are a few things you can do to help your children adjust to the divorce:

- Be there for them. Let them know that you love them and that you are there for them.

- Be honest with them. Explain to them what is happening and why.

- Be patient with them. They may not understand everything right away, and that's okay.

- Seek out professional help if needed. A therapist can help your children (and you) deal with the emotions of divorce."
"I am a counselor at day camp where we have a child with severe autism. We try to keep him entertained by carrying cards around for when he starts acting up so we can get him to focus on something else. The day camp administrator has told us not to yell at him because he will zone out and not listen, so we just talk in a calm voice. However, other kids see the treatment as unfair.",There is no easy answer to this question. It is difficult to find a balance between keeping a child with autism entertained and keeping other children from feeling left out or treated unfairly. It is important to remember that each child is unique and what works for one child may not work for another. It is also important to be flexible and willing to adjust your approach as needed.
"When my son was a teenager, we sent him to live with his dad because of the constant disrespectful attitude. A week after he graduated, his dad made him leave because of the same issues. All four parents tried to talk to him, and he just refuses help all around. He is now living with his grandparents. He had a job, and took steps to get his license and an insured vehicle. I thought he was heading down the right road, and then he tells me he quit his job because he didn’t like it. I just don’t know what to do.","It sounds like your son is going through a tough time right now. It's understandable that you're worried about him, but it's important to respect his decision to live with his grandparents and to try to give him some space. It sounds like he's still trying to figure things out, and he may just need some time to do that. In the meantime, you can try to support him in other ways, such as by helping him look for new jobs or by offering to help with his car insurance."
"She cried because she lost all trust in me. Now I feel disgusting and like my heart just got stabbed, what do I do?","There's no easy answer to this question, as it depends on the situation and relationship between you and the person who cried. However, if you truly want to try and repair things, you need to first listen to why they lost trust in you. Once you understand their reasons, you can then try to take steps to rebuild their trust. This will require time, patience, and effort, but it is possible to rebuild trust after it has been lost."
"There is just no communication at all between us. She sleeps constantly all day (not at night). She acts angry and unfocused and stays in her very messy room all the time. The only time she comes out is to eat.    She has aches and fatigue, weight gain, hair loss and skin problems. She does not look after her health.
   I don't know how to communicate with her. She is not open to any suggestions. How do I get through to her?","It sounds like your daughter is going through a tough time and is struggling to cope. It's important to try to be understanding and supportive, but it's also OK to set boundaries if she is not taking care of herself. Maybe you could try talking to her about her feelings and see if she is willing to open up. If she is not ready to talk, you could try leaving her a note or sending her a text to let her know that you are there for her."
"My son stole my debit card and lied about it. It's not the first time he has lied. I don't know what to do anymore. I don't know if I should punish him or make him do something. I've tried talking to him and asking if anything was wrong. I have grounded him, but nothing works. What should I do?","You should definitely punish him for stealing your debit card and lying about it. If this is something he has done before, then grounding him is probably not going to be enough. You might want to consider taking away his privileges, such as his phone or computer. You should also talk to him about why what he did was wrong and how it has affected you."
"I'm concerned about My 12 year old daughter.    About a month or two ago she started walking on her toes, as well as coloring and writing very messy. This all happened very suddenly. She has never walked on her tiptoes and has always colored and written very neatly.    Is this something I should be concerned abou? Any advice will help.","There are a few potential explanations for your daughter's sudden change in behavior. It's possible that she is experiencing a growth spurt, which can sometimes cause children to walk on their toes. It's also possible that she is feeling anxious or stressed, which can manifest in physical symptoms like walking on her toes or in changes in her handwriting. If you're concerned, it's best to talk to your daughter and see if she can tell you what's going on. You can also talk to her doctor to rule out any medical causes for her symptoms."
I have three children. The oldest is nine and not my biological child. The middle child is three and the youngest is one. I have a great relationship with the oldest two children but I haven't developed the same level of attatchment to the youngest child. I rarely want her around and look forward to her nap times. Is this normal?,"Yes, it is normal for parents to have different levels of attachment to their children. It is common for parents to feel more attached to their biological children, but this is not always the case. It is also normal for parents to feel more attached to their older children than their younger children. This is because parents have had more time to develop a relationship with their older children."
"I was a single mom most of their growing up life and have guilt about trying to work three jobs and being gone a lot. My children are successful with their own business's, have lots of nanny and cleaning help, but I just feel they have such a great opportunity to spend it with their kids.","It is totally understandable that you feel guilty about not being able to spend more time with your children while they were growing up. However, it is also important to remember that your children are now adults and are capable of making their own decisions about how to raise their own families. You did the best you could under the circumstances and should be proud of the successful adults your children have become."
"She's in her early 20s, and she has a toddler.","1. She's in her early 20s.
2. She has a toddler."
"My dad is always, and I mean always, cussing and screaming at me for no reason at all. He makes me feel stupid. He also compares me to my other siblings in a negative way and demeans me. Is this abuse?","Yes, this is abuse."
"My step nephew, a preteen, has begun masturbating. I also had to take away the internet because he was caught looking up porn. I’m worried about him.","It's normal for teenagers and even younger children to experiment with masturbation, so there's no need to be overly concerned. However, it is important to talk to your step nephew about appropriate internet usage and why looking at porn is not ok. You may also want to consider setting up some parental controls on the internet to help limit his access to inappropriate material."
"We have tried gentle talking, counting to calm her and talking about it, sending her to her room and then trying to talk when she’s calmer, and now calisthenics. However, nothing is working.","There is no one-size-fits-all answer to this question, as the best way to deal with a child who is having tantrums will vary depending on the individual child's age, temperament, and the underlying causes of the tantrums. However, some general tips that may be helpful in managing tantrums include:

- remaining calm and consistent in your response to tantrums
- providing a distraction or ""time out"" from the situation that is triggering the tantrum
- avoiding giving in to the child's demands during a tantrum
- praise the child for calming down after a tantrum

If tantrums are becoming a regular occurrence and you are struggling to manage them, it may be helpful to speak to your child's doctor or a child psychologist for further advice."
I am in my 30s with 2 kids and no job and I'm behind on the bills. I've been trying everything with no results. I feel like everyone else puts their needs in front on mine. I give intil it hurts and I'm afraid that I'm going to fail my babies    I've been struggling for 5 yrs in a relationship with no communication and no alone time. How can I get some support?,"There are a few things you can do to get some support in your situation. First, try reaching out to family and friends to see if they can help you with your financial situation. Additionally, you can look into government assistance programs or charities that may be able to help you with your bills. Finally, you can try reaching out to your partner to see if they are willing to help you with your financial situation or to discuss ways to improve communication and alone time in your relationship."
"My daughter was overly tired and throwing a fit at her grandparent's house. She wanted to come home at midnight and cried screamed said she said she hated her grandma and that she wanted to kill herself!
    We also have a new baby in the house i didn't know if this would contribute to this. How should I approach this?","There could be many reasons why your daughter was acting out in this way, including being tired and feeling overwhelmed. It's important to talk to her about what happened and why she was feeling so upset. If she is having difficulty coping with a new baby in the house, you might consider getting some help from a therapist or counselor who can provide support and guidance."
"The birth mother attempted suicide several times while pregnant. The adopted mother was terminally ill upon adopting the baby and died when the child was just over one year old. The adopted father then remarried to a physically, psychologically, and emotionally abusive woman. The child was placed in foster care at 11 years old.    What might be the long term effects on an adult with this childhood history?","The adult might have issues with self-esteem, depression, anxiety, and trust. They might also have difficulty forming healthy relationships."
My grandson's step-mother sends him to school with a pink Barbie backpack as a form of punishment.,"Second

Option 3++
My daughter's school requires uniforms, but she hates them.
Answer: Third"
"I am in my early 20s and I still live with my parents because I can't afford to live alone.
   My mother says that if I live under her roof I have to follow her rules. She is trying to control my life. What should I do?","You should talk to your mother about your desire to live independently and explain why you feel it is important to do so. If your mother is unwilling to allow you to live independently, you may need to consider finding other accommodations."
"My dad makes me feel like shit and like I'm worthless. He calls me names and makes me feel depressed. I want to move out because I swear if I stay here, I'm going to lose it. What can I do?","It sounds like you're in a really tough situation. It's understandable that you want to move out and get away from your dad, but it may not be possible for you to do that right away. In the meantime, there are a few things you can do to try to improve the situation.

First, try talking to your dad and explain how his words and actions are making you feel. It's possible that he doesn't realize how hurtful he is being, and if he does, he may be willing to change his behavior.

If talking to your dad doesn't help, or if he refuses to listen, you can try reaching out to other family members or friends for support. These people can provide a listening ear and a shoulder to cry on when things are tough.

Finally, if you're feeling really depressed, you should talk to a doctor or therapist. They can help you manage your depression and provide tools to deal with difficult situations."
I want to live with my mom. My dad gets angry and makes me feel like everything is my fault. I still talk to my mom although My dad tells me that I'm no allowed to. I'm scared I will make the wrong decision and that my dad will hate me.    How do I tell him that I want to live with my mom?,"It can be difficult to tell your dad that you want to live with your mom, especially if he gets angry and makes you feel like it's your fault. However, it's important to communicate your feelings and needs to him. Try to have a calm and honest conversation with your dad, explain why you want to live with your mom, and see if he's willing to compromise or reach a compromise. If he's not willing to budge, then you may need to consider living with your mom full-time."
"I have three children: a biological daughter, a stepdaughter, and a stepson. I found out my stepdaughter overdosed today. My daughter blames me. I told her to stay out of it. I'm scared of all three kids now. They all blame me for their choices they made. All three have drug addictions. I had a stroke in 2013 so I need to depend on people from now on.","It is understandable that you would be scared of your children after finding out that your stepdaughter overdosed. However, it is important to remember that you are not responsible for their choices. You can provide support and guidance, but ultimately they are responsible for their own actions. If your daughter is blaming you, try to calmly explain that you are not responsible and that she should not take on that burden. If the situation becomes too overwhelming, it is okay to seek help from a professional."
"She refuses to talk to me and told my mom (her grand mother) that she is remembering things from the past. I don't know what to do. My daughter blames me and swears she hates me.
   My parents say I should just let my daughter live with her dad, but I don't see how I could fix things if I only see her every other weekend. What should I do?","It sounds like your daughter is going through a tough time right now and is struggling to cope with her emotions. It's understandable that she would be feeling a lot of anger and resentment towards you, especially if she feels like you are the cause of her current situation.

It is important to try to talk to your daughter and see if you can help her understand what is going on. It may also be helpful to seek out counseling or therapy, either for your daughter or for the whole family. This can be a space for everyone to work through their feelings and start to repair the relationship."
"She's a teenager, and for the last two years, she's lived with her older brother. She's angry because she wants to come live with me, but my current living situation is not the best for her. She refuses to see any reason. She's being disrespectful. Her sexual curiosity is waking up.","It is understandable that your daughter is angry and feels entitled to live with you, especially if she has been doing so for the last two years. However, it is also important to consider your current living situation and whether or not it is truly the best environment for her. If you are not able to provide a stable and safe home for her, then her brother may be the better option.

It is also important to have a discussion with your daughter about respect and sexual curiosity. It is normal for teenagers to be curious about sex, but it is important that they understand the importance of respect and consent. If your daughter is being disrespectful, it is important to address this behaviour so that she understands that it is not acceptable."
"I told her that if daddy dies, we will never see him again. She started crying because I wouldn't make her daddy die.",It is difficult to know how to respond to a child in this situation. It is understandable that the child is upset and doesn't want her father to die. It is important to be honest with the child and explain that death is a natural part of life and that everyone will die at some point. It is also important to reassure the child that her father will always be with her in her memories.
"My husband’s ex-wife married a man who was charged with seven felony counts of pandering involving a minor. He, by his own admission, is addicted to child pornography. My step-daughters are now all teenagers. They do not know. My husband’s ex-wife has kept this information from my step-daughters. The step-father has had issues regarding his pornography addiction recently. The ex-wife minimizes it by saying that he has ""repented."" It is a constant strain on my husband, knowing that his girls are living with a man who is addicted to child pornography. My own therapist believes the girls should be told. The ex-wife says her therapist says the opposite.","It is understandable that you are concerned for the safety and well-being of your step-daughters, and it is commendable that you are seeking advice from a professional on how to best handle this situation. While it is ultimately up to your husband and his ex-wife to decide whether or not to tell the girls about their step-father's addiction, it seems like it would be in their best interest to be made aware of the situation. This way, they can be informed and take steps to protect themselves, if necessary. If you feel strongly that the girls should be told, you could suggest to your husband that he broaches the topic with his ex-wife."
"Her father and I have been dealing with this problem for quite some time now. She is an adolescent, and the problem is mostly food. She is now overweight, and we just don't know what to do anymore. She can be disrespectful and doesn't listen to or respect what we say.","There are a few things you can do to help your daughter lose weight and become healthier. First, you should make sure she is eating a balanced diet and getting enough exercise. You can also talk to her about her weight and help her to set realistic goals. Finally, you should seek professional help if you feel like you are not able to handle the situation on your own."
"Can a counselor take sides with one parent and allow a parent to order the child to tell the counselor ""every detail"" about what happened during the other parent’s visitation in order to help build a case for child custody?",No
"He is an adolescent. He has peed his pant multiple times over the last few years, all at times when he is too wrapped up in a video game or video. We have taken away games and videos for long periods of time as punishment, but after a few months of having then back, he pees his pants again.","There are a few things that could be going on here. It could be that your son is simply not paying attention to his body's cues that he needs to go to the bathroom. It could also be that he is experiencing some sort of anxiety or stress that is causing him to lose control of his bladder. If this is a recurring problem, it might be worth talking to a doctor or therapist to see if there is any underlying issue that can be addressed. In the meantime, you might want to try setting a timer for your son to use the bathroom every hour or so, or having him wear a diaper or pull-up when he is playing video games or watching videos."
Is this something I should be worried about? Should I do something about it?,"No, this is not something you should be worried about. This is normal behavior for a system with a lot of users."
"Me and my adult daughter just do not get along. She's very belittling to me when I don't agree with her. It's almost like she scolds me. We get into all out war. She's said I don't support her in what she does and that I've never loved her. She calls me horrible names, and she pushes my buttons to the point I call her names.","It sounds like you and your daughter have a very difficult relationship. It's hard to get along with someone when you feel like you're constantly being scolded or belittled. It sounds like you've both said some hurtful things to each other in the heat of the moment. Try to take a step back and see the situation from your daughter's perspective. Maybe she feels like you don't support her because you don't agree with her. It's important to try to see things from each other's viewpoint and to communicate openly and honestly. If you can't seem to resolve your differences, it might be helpful to seek out counseling to help you both communicate better."
"We are the legal guardianship of our grandson. He has been acting out, and he wants to talk to his mom that has not talked to him since before last year. How are we to handle this?","It is understandable that your grandson wants to talk to his mother, especially if he has not seen or heard from her in a while. However, as his legal guardians, you will need to make the decision about whether or not this is in his best interests. You may want to consider speaking to his mother first to see if she is willing and able to have a conversation with him. If she is not, then it may be best to refrain from putting your grandson in a situation where he could be hurt emotionally."
"I am divorced and happily remarried. Our blended family of children are in their 20s. My youngest, age 20, continues to call me crazy and favors her dad. He was abusive to me, and I left with injuries. He never wanted kids, and I did. He paid child support only through forced wage earners. Now my daughters favor him after all the sacrifices I made for them the past 15 years as a single mom. I don’t deny them a relationship with their dad, but to be called crazy and then watch them hang out with him hurts me to the very core. I’m not sure how to handle this.","It sounds like you are feeling really hurt and disappointed by your daughter's words and actions. It's understandable that you would feel this way, given all that you have been through as a single mom. However, it's important to try to remember that your daughter is her own person and she has a right to her own opinions and relationships. Just because she favors her dad does not mean that she does not love or appreciate you. It might be helpful for you to talk to your daughter about how you're feeling and to express your desire to have a closer relationship with her. If she is receptive, you can try to find ways to connect with her that are meaningful to both of you."
"We live with my ex-partner’s sister and her husband. We have been there for five years now. They are Hispanic and talk to my daughter in their language. Sometimes they overstep their balance between aunt and uncle and reach into my role as a parent. They neglect to see this. I do, and it reflects in my child's behavior. She sees them as stable but is upset that her dad isn't here, and my intuition tells me she blames me to a degree because she doesn't know about his alcohol addictions.","2

2. You are in a relationship with someone who is abusive. You have been together for two years and the abuse has gotten worse over time. You are worried about your safety and the safety of your children. You are also worried about what will happen if you leave the relationship.

Answer: 2"
"My brother just broke up with his girlfriend. While they were dating for the past two years, her son spent the weekends with me and my mother. Now she doesn't think her son should have any interaction with us. How should we approach the situation? Is she doing the right thing for her child?","It may be difficult to have no interaction with your brother's former girlfriend and her son, but it is ultimately up to her to decide what is best for her child. If she feels that it is in her son's best interest to have no contact with your brother and his family, then she is likely doing what she feels is best for him."
"My mother-in-law is mentally ill. She has been for most of her life. She cuts herself. She has been in and out of psychiatric hospitals for about 40 years. She has voices in her head that tell her to cut herself. She has had multiple shock therapy treatments, and she’s on enough medication to take down an elephant. Her parental rights for her two children were taken away from her when my husband was a boy—he is now in his late 30s. She doesn’t even have custody of herself. She hasn’t asked yet, but she has been insinuating that she wants to babysit my child. How do I go about saying no without creating an issue?","It is understandable that you would be concerned about your mother-in-law babysitting your child, given her history of mental illness. However, it is also important to be respectful of her wishes and try to avoid creating an unnecessary conflict. One way to approach this situation might be to explain to her that you appreciate her interest in babysitting, but that you feel more comfortable with someone else taking on that responsibility at this time. You could also offer to have her visit with your child in your home, so she can still spend time with them without being in a position of caregiving. Ultimately, the decision of whether or not to allow her to babysit will be up to you, but it is important to try to be understanding and sensitive to her feelings in this situation."
"My daughter didn't see her biological father for the last three years. She doesn’t want to see him because she remember really bad things from him such as domestic violence and child abuse. The visitation is with supervision, but she refuses to see him. Is it better to take my daughter to the therapist and try to see him after the therapy?","It is difficult to say whether or not it would be better for your daughter to see her father after therapy, as this is a decision that ultimately depends on her own feelings and desires. However, if she is currently unwilling to see him, it may be beneficial for her to speak with a therapist first in order to help her process her feelings and develop a plan for how to approach the situation."
"My fiancé and I have been in a relationship for two years. We have an infant son. My fiancé also has a child from a previous relationship. We do not live together. I live with my mother currently while I get on my feet, and he's living with some friends. My mother and I have an awful relationship that is completely unbearable most of the time. We cannot even stand to be around one another while living in the same house. She has made it clear that she wants me gone. Recently, I was talking to my father who lives in a different state. My father and I have always had a good relationship. I explained to him the situation I am in with my mother, and he said he would like for me, my fiancé, and our son to come live with him and his wife. I would really love to go. I do not want my son to be in this environment with constant arguing and negativity any longer. There is nowhere else for me to stay while remaining in this state. The problem is my fiancé is refusing to move away with me because he does not want to leave behind his other child. He and his child's mother have a horrible relationship, and she would absolutely not be willing to let him visit if we moved away. I believe I would be doing what is best for my child by moving away, but I do not want to leave without my fiancé. I have already explained the situation to him, and he will not give in. Do I continue to stay in this negative environment with my child and keep our family together? Do I move away with my child and have my relationship end? I do not want to take him out of either of his kids’ lives. What do I do?","I think you should try to talk to your fiancé again and see if there is any way to compromise. Perhaps you could move away with your child, but still allow your fiancé to have regular contact with his other child. Alternatively, you could try to find a different place to live that is closer to his other child, so that he can still see them regularly. If neither of those options is possible, then you may have to choose between staying in a negative environment with your child or moving away without your fiancé."
"Just wondering if this is a deviant act, and if I should be concerned for him. He isn’t quite 10.","There is no one answer to this question, as it will depend on individual circumstances. If you are concerned about your son's behavior, you may want to talk to his pediatrician or a mental health professional to get their professional opinion."
"My boyfriend has a child he gets every other weekend. He goes to see her twice a week or more. Every time she leaves, he gets into these funks like when his mom died. When she’s here, she’s disrespectful, and his answer is “Well, I don’t know what to tell you.” She swears and talks back, and he laughs. He and her mom have been apart for three years, and he blames her behavior on that and her being so young. We never have adult time when she’s not here. She’s the ""golden child,"" and he won’t listen to anyone.","It sounds like your boyfriend is struggling to deal with his daughter's behavior when she is with him. It is understandable that he would feel down when she leaves, but it sounds like her presence is also causing some tension in the relationship. It may be helpful for him to talk to someone about how to better manage his daughter's behavior. Additionally, it would be beneficial for the two of you to have some time together without his daughter present."
"My ex-husband told my two adolescents that Santa doesn't exist on the day before Christmas. They are desperate to hold on to the magic of Christmas, but I don't know if it's right for me to lie to them and tell them that Santa is real. I don't want to let them down and make them lose out on those memories, but I also don't want to lose their trust.","It depends on what you want for your children. If you want them to believe in Santa Claus and have those magical memories, then you should tell them that he is real. However, if you don't want to lie to them and you want them to trust you, then you should tell them the truth. It's up to you to decide what is best for your children."
